,,,Spring Components,,,Dcover No Jcover fuzz,time(Seconds):,1896,Dcover Jcover-fuzz,time(Seconds):,2514,Jcover test verification on,time(Seconds):,3614
GROUP,PACKAGE,CLASS,@Service,@Controller,Info,LINE_MISSED,LINE_COVERED,Coverage,LINE_MISSED,LINE_COVERED,Coverage,LINE_MISSED,LINE_COVERED,Coverage
nacos-api 1.1.0,com.alibaba.nacos.api.naming.utils,NamingUtils,,,,3,5,0.625,3,5,0.625,3,5,0.625
nacos-api 1.1.0,com.alibaba.nacos.api.selector,NoneSelector,,,,0,3,1.0,0,3,1.0,0,3,1.0
nacos-api 1.1.0,com.alibaba.nacos.api.selector,AbstractSelector,,,,0,4,1.0,0,4,1.0,0,4,1.0
nacos-api 1.1.0,com.alibaba.nacos.api.selector,ExpressionSelector,,,,0,6,1.0,0,6,1.0,0,6,1.0
nacos-api 1.1.0,com.alibaba.nacos.api.selector,SelectorType,,,,0,4,1.0,0,4,1.0,0,4,1.0
nacos-api 1.1.0,com.alibaba.nacos.api,NacosFactory,,,,7,0,0.0,7,0,0.0,7,0,0.0
nacos-api 1.1.0,com.alibaba.nacos.api,PropertyKeyConst,,,,1,0,0.0,1,0,0.0,1,0,0.0
nacos-api 1.1.0,com.alibaba.nacos.api,PropertyKeyConst.SystemEnv,n/a,n/a,Could not find file,1,0,0.0,1,0,0.0,1,0,0.0
nacos-api 1.1.0,com.alibaba.nacos.api.config,ConfigFactory,,,,6,4,0.4,6,4,0.4,10,0,0.0
nacos-api 1.1.0,com.alibaba.nacos.api.config,ConfigType,,,,0,11,1.0,0,11,1.0,0,11,1.0
nacos-api 1.1.0,com.alibaba.nacos.api.naming.listener,NamingEvent,,,,0,22,1.0,0,22,1.0,4,18,0.8181818181818182
nacos-api 1.1.0,com.alibaba.nacos.api.naming.pojo,ServiceInfo,,,,18,66,0.7857142857142857,18,66,0.7857142857142857,84,0,0.0
nacos-api 1.1.0,com.alibaba.nacos.api.naming.pojo,AbstractHealthChecker.None,n/a,n/a,Could not find file,0,4,1.0,0,4,1.0,4,0,0.0
